industry,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,reference,page
b13-oil-and-gas-refining-and-marketing,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting on water withdrawn from regions with High or Extremely High Baseline Water Stress, which tool should be used to classify water stress levels according to IFRS S2?",UN Water Scarcity Index,World Bank Water Stress Indicator,OECD Water Risk Assessment Tool,"World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",Global Water Partnership Stress Mapper,"D. World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",IFRS S2 Climate-related Disclosures Appendix B,121
b13-oil-and-gas-refining-and-marketing,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"A refining company is struggling to accurately report its Scope 1 GHG emissions due to the complexity of its operations. According to IFRS S2, which of the following is NOT an acceptable calculation methodology for Scope 1 emissions in the Oil & Gas - Refining & Marketing industry?",GHG Reporting Guidance for the Aerospace Industry,Petroleum Industry Guidelines for reporting GHG emissions,ISO 14064-1,The GHG Protocol,IPCC National Greenhouse Gas Inventories Programme,E. IPCC National Greenhouse Gas Inventories Programme,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing,117
b13-oil-and-gas-refining-and-marketing,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,An Oil & Gas Refining company is preparing to disclose its GHG emissions reduction targets. Which of the following elements is NOT required to be included in the discussion of emission reduction targets according to IFRS S2?,The scope of the emission reduction target,Whether the target is absolute or intensity-based,The percentage reduction against the base year,The mechanism(s) for achieving the target,The projected financial impact of achieving the target,E. The projected financial impact of achieving the target,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing,118-119
b13-oil-and-gas-refining-and-marketing,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"A refinery is preparing its sustainability report and needs to disclose its water management practices. According to IFRS S2, which of the following is NOT a required disclosure for the Water Management topic?",Total fresh water withdrawn,Percentage of water recycled,Percentage of water withdrawn from regions with High or Extremely High Baseline Water Stress,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress,Total wastewater generated and treated on-site,E. Total wastewater generated and treated on-site,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing,121-122
b14-oil-and-gas-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2 Climate-related Disclosures for the Oil & Gas Services industry, which of the following is NOT a required activity metric?",Number of active rig sites,Number of active well sites,Total amount of drilling performed,Total number of hours worked by all employees,Total revenue generated from drilling services,E. Total revenue generated from drilling services,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,125
b14-oil-and-gas-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the percentage of engines that comply with the highest level of emissions standards for non-road diesel engine emissions, which of the following is correct?",Only new engines should be included in the calculation,The calculation should only include engines manufactured by the entity,Engines exempt from jurisdictional standards should still be included,"The scope includes all operations, regardless of jurisdiction","The calculation should be based on engine design parameters, not actual emissions","D. The scope includes all operations, regardless of jurisdiction",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,129
b14-oil-and-gas-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When discussing strategies to address air emissions-related risks, which of the following is NOT considered a short-term strategy according to IFRS S2?","Fuel substitution (e.g., drop-in biodiesel)",Use of dual fuel equipment,Engine maintenance,Carbon capture and storage,Immediate equipment replacements,D. Carbon capture and storage,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,128
b14-oil-and-gas-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the total volume of fresh water handled in operations, which of the following definitions should be used if there is no regulatory definition in the local jurisdiction?",Water with less than 500 parts per million of dissolved solids,Water with less than 1000 parts per million of dissolved solids,Any water that is not seawater,Water that has been treated in a municipal facility,Water with a pH between 6.5 and 8.5,B. Water with less than 1000 parts per million of dissolved solids,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,130
b14-oil-and-gas-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of renewable fuel consumed by an oil and gas services company, which of the following is the correct method?",Divide the amount of renewable fuel by the total fuel purchased,Divide the amount of renewable fuel by the total fuel inventory,Divide the amount of renewable fuel consumed by the total amount of fuel consumed,Divide the cost of renewable fuel by the total fuel cost,Divide the volume of renewable fuel by the volume of non-renewable fuel,C. Divide the amount of renewable fuel consumed by the total amount of fuel consumed,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,126-127
b14-oil-and-gas-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating total fuel consumed for sustainability reporting, which of the following methodologies is NOT acceptable according to IFRS S2?","Adding fuel purchases to beginning inventory, less ending inventory",Tracking fuel consumed by vehicles,Tracking fuel expenses,Using fuel efficiency ratings of equipment,Measuring actual fuel consumed by all sources,D. Using fuel efficiency ratings of equipment,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,126-127
b14-oil-and-gas-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing the percentage of water recycled in operations, how should a company treat water that is reused multiple times?",Count it only once as recycled water,Count it as recycled water each time it is recycled and reused,Count it twice: once for the initial use and once for all subsequent uses,Exclude it from the calculation of recycled water,Average the number of times it is reused and count it that many times,B. Count it as recycled water each time it is recycled and reused,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,130-131
b14-oil-and-gas-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of engines in service that comply with the highest level of emissions standards for non-road diesel engines, how should an oil and gas services company treat engines that are exempt from the jurisdictional standard?",Include them in the calculation as non-compliant engines,Include them in the calculation as compliant engines,Exclude them from the calculation entirely,Include them only if they meet half of the compliance requirements,Include them based on their manufacturing date,C. Exclude them from the calculation entirely,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,129
b14-oil-and-gas-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,An oil and gas services company is preparing its sustainability report and needs to disclose its strategy for addressing air emissions. Which of the following emission sources does NOT need to be included in this disclosure according to IFRS S2?,Combustion emissions from fuel use in gas compression,Flaring of hydrocarbons during well testing,Venting of hydrocarbons during normal operations,Fugitive emissions of greenhouse gases from equipment leaks,Emissions from employee commuting to work sites,E. Emissions from employee commuting to work sites,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,128
b14-oil-and-gas-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When disclosing the total volume of fresh water handled in operations for an oil and gas services company's sustainability report, how should water obtained from a water utility be classified?",It should always be excluded from the total volume,It should be classified as recycled water,It can be assumed to meet the definition of fresh water if in compliance with drinking water regulations,It should be reported separately from other fresh water sources,It should only be included if it exceeds 1000 parts per million of dissolved solids,C. It can be assumed to meet the definition of fresh water if in compliance with drinking water regulations,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,130
b14-oil-and-gas-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,An oil and gas services company is preparing its sustainability report and needs to disclose the percentage of its engines that comply with emissions standards. Which of the following statements is correct regarding the scope of this disclosure?,It only includes new non-road diesel engines,It excludes engines used in pumps and compressors,It is limited to operations in the company's home country,"It includes all operations, regardless of jurisdiction",It only applies to engines manufactured by the company,"D. It includes all operations, regardless of jurisdiction",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,129
b14-oil-and-gas-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When discussing strategies to address water consumption in an oil and gas services company's sustainability report, which of the following is NOT considered a short-term strategy according to IFRS S2?",Adopting best practices in water recycling,Implementing water efficiency initiatives,Using dual fuel equipment for water pumps,Maintaining water treatment equipment regularly,Redesigning processes to lower fresh water withdrawal in constrained regions,E. Redesigning processes to lower fresh water withdrawal in constrained regions,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services,131-132
b15-asset-management-and-custody-activities,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2, what are the three approaches to incorporating ESG factors in investment management that should be disclosed in terms of assets under management?","Risk assessment, impact measurement, and sustainability reporting","Screening, sustainability themed investing, and ESG integration","Financial analysis, stakeholder engagement, and carbon footprinting","Proxy voting, corporate engagement, and policy advocacy","Negative screening, positive screening, and exclusionary screening","B. Screening, sustainability themed investing, and ESG integration",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,135-136
b15-asset-management-and-custody-activities,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When describing the approach to incorporation of ESG factors in investment processes, which of the following is NOT required to be included in the discussion?",Parties responsible for day-to-day incorporation of ESG factors,Approach to conducting ESG-related research,Roles and responsibilities of employees involved,Approach to incorporating ESG factors into investment strategies,Detailed financial performance of ESG-focused investments,E. Detailed financial performance of ESG-focused investments,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,136-137
b15-asset-management-and-custody-activities,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,What aspect of proxy voting and investee engagement policies should be described according to IFRS S2?,The entity's voting record for the past 5 years,The personal opinions of the entity's CEO on various ESG issues,The escalation process for engagements when company dialogue is failing,The names of specific companies targeted for engagement,The amount of money spent on engagement activities,C. The escalation process for engagements when company dialogue is failing,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,140
b15-asset-management-and-custody-activities,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In disclosing financed emissions, what should be included along with the absolute gross Scope 1, 2, and 3 emissions?",The entity's own operational emissions,The carbon offsets purchased by the entity,The associated amount of total Assets Under Management (AUM),The projected emissions for the next fiscal year,The emissions reduction targets of investee companies,C. The associated amount of total Assets Under Management (AUM),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,141-142
b15-asset-management-and-custody-activities,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of total assets under management (AUM) included in the financed emissions calculation, how should the entity handle exclusions?",Ignore exclusions and report 100% of AUM,Subtract exclusions without explanation,Provide an explanation for exclusions including type of assets and associated amount of AUM,Only report on included AUM without mentioning exclusions,Round up to the nearest 10% of AUM,C. Provide an explanation for exclusions including type of assets and associated amount of AUM,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,141
b15-asset-management-and-custody-activities,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,How should an asset management entity calculate gross emissions intensity for financed emissions?,Total emissions divided by number of investments,"Amount of Scope 1, 2, and 3 emissions per unit of economic activity (e.g., mt CO2-e/ USD 1 million revenue)",Total emissions divided by total AUM,Scope 1 emissions only per USD 1 billion AUM,Average of Scope 1 and 2 emissions per investee company,"B. Amount of Scope 1, 2, and 3 emissions per unit of economic activity (e.g., mt CO2-e/ USD 1 million revenue)",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,142
b15-asset-management-and-custody-activities,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When describing the methodology used to calculate financed emissions, what should be included regarding the source data?",Only include data from the past fiscal year,Use estimated data for all calculations,"Disclose if the source data has been verified by a third party, where possible",Only include data from publicly traded companies,Exclude any data that hasn't been audited,"C. Disclose if the source data has been verified by a third party, where possible",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,143
b15-asset-management-and-custody-activities,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"In calculating absolute gross financed emissions, which of the following is correct regarding the treatment of offsets and credits?",Subtract all offsets and credits from the total emissions,Only include Scope 1 and 2 emissions after applying offsets,Report emissions before accounting for offsets and credits,Apply offsets only to Scope 3 emissions,Use net emissions after applying all available credits,C. Report emissions before accounting for offsets and credits,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,142
b15-asset-management-and-custody-activities,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What unique challenge does an asset management company face when incorporating ESG factors into its investment strategies for different asset classes?,Applying the same ESG criteria uniformly across all asset classes,Ignoring ESG factors for certain asset classes,"Tailoring the ESG approach for different asset classes like public equity, fixed income, and alternatives",Focusing only on environmental factors across all asset classes,Applying ESG factors only to equity investments,"C. Tailoring the ESG approach for different asset classes like public equity, fixed income, and alternatives",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,137-138
b15-asset-management-and-custody-activities,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What is a specific challenge asset managers face when conducting scenario analysis for ESG trends at the portfolio level?,Avoiding scenario analysis altogether,Focusing only on short-term scenarios,Applying the same scenarios to all portfolios regardless of strategy,Balancing between broad ESG trends and sector-specific impacts,Considering only positive scenarios,D. Balancing between broad ESG trends and sector-specific impacts,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,137
b15-asset-management-and-custody-activities,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What unique challenge does an asset management firm face in its proxy voting and engagement activities related to ESG issues?,Avoiding all proxy voting responsibilities,Always voting in favor of management recommendations,Balancing proactive and reactive approaches in company engagements,Engaging only with companies in the energy sector,Focusing exclusively on governance issues in proxy voting,C. Balancing proactive and reactive approaches in company engagements,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,139
b15-asset-management-and-custody-activities,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What is a key challenge for asset managers when calculating and disclosing financed emissions?,Ignoring Scope 3 emissions entirely,Only calculating emissions for equity investments,Dealing with data gaps and the need for estimations across diverse portfolios,Focusing solely on absolute emissions without considering intensity,Avoiding disclosure of the calculation methodology,C. Dealing with data gaps and the need for estimations across diverse portfolios,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,142-143
b16-commercial-banks,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2 Climate-related Disclosures, what should a commercial bank disclose regarding its approach to incorporating environmental, social, and governance (ESG) factors in credit analysis?",Only the financial impact of ESG factors on the bank's portfolio,"A description of the approach, including policies, implementation, and oversight",The names of specific clients affected by ESG factors,"Only the environmental factors, excluding social and governance aspects",The bank's personal opinions on ESG matters,"B. A description of the approach, including policies, implementation, and oversight",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,146-148
b16-commercial-banks,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing financed emissions, what specific breakdown is required for each industry by asset class according to IFRS S2?",Only Scope 1 and Scope 2 emissions,"Combined total of Scope 1, 2, and 3 emissions","Absolute gross Scope 1, Scope 2, and Scope 3 emissions separately",Only carbon-related industries' emissions,Emissions intensity without absolute values,"C. Absolute gross Scope 1, Scope 2, and Scope 3 emissions separately",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,151-152
b16-commercial-banks,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,What should a commercial bank disclose regarding the percentage of gross exposure included in the financed emissions calculation?,Only the percentage for carbon-related industries,"The percentage, and if less than 100%, an explanation for exclusions",The percentage without any additional context,Only the total amount of gross exposure,The percentage for the top 5 industries only,"B. The percentage, and if less than 100%, an explanation for exclusions",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,150-151
b16-commercial-banks,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When describing the methodology used to calculate financed emissions, what aspect of data collection should a commercial bank disclose?",Only the names of clients providing emissions data,The approach to collecting underlying emissions data including its source,The bank's internal data processing techniques,Only the total amount of emissions collected,The cost associated with data collection,B. The approach to collecting underlying emissions data including its source,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,154
b16-commercial-banks,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"In calculating financed emissions, how is 'gross exposure' defined for funded amounts?",Net carrying amounts after loss allowance,Market value of investments,Funded carrying amounts before subtracting loss allowance,Total committed amount including undrawn portions,Fair value of collateral held,C. Funded carrying amounts before subtracting loss allowance,IFRS S2 Climate-related Disclosures Appendix B,149-150
b16-commercial-banks,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing emissions intensity of financed emissions, what unit of measurement should be used?",Metric tons of CO2 equivalent per employee,Kilograms of CO2 equivalent per dollar of revenue,Grams of CO2 equivalent per square foot of office space,Metric tons of CO2 equivalent per unit of economic or physical activity,Pounds of CO2 equivalent per transaction,D. Metric tons of CO2 equivalent per unit of economic or physical activity,IFRS S2 Climate-related Disclosures Appendix B,153
b16-commercial-banks,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of total gross exposure for each carbon-related industry, what specific financial figure should be used as the denominator?",Gross exposure to carbon-related industries only,Net exposure to all industries,Total gross exposure to all industries,Gross exposure to non-carbon-related industries,Total assets of the bank,C. Total gross exposure to all industries,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,149-150
b16-commercial-banks,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,How should a commercial bank calculate the emissions intensity of financed emissions for each industry by asset class?,Total emissions divided by total assets,"Amount of Scope 1, 2, and 3 emissions per unit of economic or physical activity",Total emissions divided by number of loans,Amount of Scope 1 emissions only per unit of economic activity,Total carbon-related exposure divided by total exposure,"B. Amount of Scope 1, 2, and 3 emissions per unit of economic or physical activity",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,152-153
b16-commercial-banks,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What specific challenge might a commercial bank face when incorporating ESG factors into credit analysis for project finance?,Lack of standardized ESG metrics across different industries,Difficulty in quantifying environmental impacts,Limited availability of social performance data,Challenges in assessing governance practices in emerging markets,Inability to access borrower's internal ESG policies,A. Lack of standardized ESG metrics across different industries,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,146-147
b16-commercial-banks,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When disclosing financed emissions, what unique challenge might a commercial bank encounter with its derivatives portfolio?",Difficulty in obtaining emissions data from counterparties,Complexity in attributing emissions to short-term transactions,Lack of industry guidance on emissions calculation for derivatives,Challenges in aggregating emissions across diverse derivative types,Inability to track changes in underlying assets' emissions over time,D. Challenges in aggregating emissions across diverse derivative types,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,151-152
b16-commercial-banks,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What unique challenge might a commercial bank face when disclosing its gross exposure to carbon-related industries?,Difficulty in accurately measuring the bank's total assets,Classifying counterparties according to the Global Industry Classification Standard (GICS),Calculating the bank's net income for the reporting period,Determining the interest rates for new loans,Estimating future market trends in the banking sector,B. Classifying counterparties according to the Global Industry Classification Standard (GICS),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,149-150
b17-insurance,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,What is the primary purpose of disclosing the Probable Maximum Loss (PML) of insured products from weather-related natural catastrophes?,To demonstrate the company's financial strength,To assess current and future performance on environmental risk management,To comply with tax regulations,To attract more customers,To calculate annual bonuses for executives,B. To assess current and future performance on environmental risk management,Physical Risk Exposure,163-164
b17-insurance,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the approach to incorporating environmental risks, what time horizons should an insurance company consider?",Only short-term horizons,Short-term and medium-term horizons,"Short-term, medium-term, and long-term horizons",Only long-term horizons,There is no requirement to consider time horizons,"C. Short-term, medium-term, and long-term horizons",Physical Risk Exposure,166
b17-insurance,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,What should be included in the description of an insurance company's approach to incorporating ESG factors in investment management processes?,Only negative/exclusionary screening methods,Marketing strategies for ESG-focused products,Detailed employee performance reviews,"Approaches including screening, sustainability themed investment, and integration of ESG",Only positive/best-in-class screening methods,"D. Approaches including screening, sustainability themed investment, and integration of ESG","Incorporation of Environmental, Social, and Governance Factors in Investment Management",158-159
b17-insurance,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing financed emissions, how should an insurance company calculate the percentage of gross exposure included?",By dividing net exposure by total assets,By multiplying gross exposure by the number of industries,By dividing gross exposure included in financed emissions by total gross exposure to all industries and asset classes,By subtracting liabilities from total assets,By adding up all carbon-related exposures,C. By dividing gross exposure included in financed emissions by total gross exposure to all industries and asset classes,Transition Risk Exposure,169-170
b17-insurance,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the Probable Maximum Loss (PML) for weather-related natural catastrophes, what is the minimum number of likelihood of exceedance scenarios an insurance company should disclose?",One scenario,Two scenarios,Three scenarios,Four scenarios,Five scenarios,C. Three scenarios,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,163
b17-insurance,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing gross exposure to carbon-related industries, which classification system should an insurance company use to categorize counterparties?",Standard Industrial Classification (SIC),North American Industry Classification System (NAICS),Global Industry Classification Standard (GICS),International Standard Industrial Classification (ISIC),Bloomberg Industry Classification System (BICS),C. Global Industry Classification Standard (GICS),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,169
b17-insurance,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating financed emissions intensity, what unit of measure should an insurance company use?",Metric tons of CO2 equivalent per dollar of revenue,Metric tons of CO2 equivalent per employee,Metric tons of CO2 equivalent per unit of economic or physical activity,Metric tons of CO2 equivalent per square foot of office space,Metric tons of CO2 equivalent per insurance policy,C. Metric tons of CO2 equivalent per unit of economic or physical activity,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,172
b17-insurance,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing net premiums written related to energy efficiency and low carbon technology, which of the following should be included in the scope?",All insurance policies,Only renewable energy insurance policies,Policies where the insurer has separately priced and identified such net premiums in its billing to the customer,Only carbon capture and storage insurance policies,Policies related to traditional fossil fuel technologies,C. Policies where the insurer has separately priced and identified such net premiums in its billing to the customer,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,162
b17-insurance,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What is a key challenge for insurance companies when incorporating environmental risks into their underwriting process for individual contracts?,Lack of historical data on climate-related events,Difficulty in pricing policies accurately,Limited availability of reinsurance options,Regulatory restrictions on risk assessment methods,Inability to use catastrophe modeling,B: Difficulty in pricing policies accurately,Physical Risk Exposure,165-166
b17-insurance,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When assessing climate-related risks for insurance portfolios, which of the following is NOT considered a relevant time horizon according to IFRS S2?",Short-term,Medium-term,Long-term,Immediate-term,All of the above are considered,D: Immediate-term,Physical Risk Exposure,166
b17-insurance,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What is a unique challenge for insurance companies when calculating and disclosing financed emissions?,Lack of standardized calculation methodologies,Difficulty in obtaining emissions data from investees,Regulatory restrictions on emissions reporting,Limited software tools for emissions calculations,"Inability to differentiate between Scope 1, 2, and 3 emissions",B: Difficulty in obtaining emissions data from investees,Transition Risk Exposure,173
b17-insurance,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What is a key challenge for insurance companies when incorporating climate-related scenarios into their Probable Maximum Loss (PML) calculations?,Lack of historical data on extreme weather events,Difficulty in predicting future regulatory changes,Uncertainty in critical input parameters and assumptions for long-term scenarios,Limited availability of catastrophe modeling software,Inconsistency in global reporting standards for climate risks,C. Uncertainty in critical input parameters and assumptions for long-term scenarios,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,164
b18-investment-banking-and-brokerage,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When reporting revenue from transactions incorporating ESG factors, how should an investment banking entity break down this information?",By client type and transaction size,By geographic region and currency,"By underwriting, advisory, and securitization activities","By environmental, social, and governance categories",By profit margin and transaction volume,"C. By underwriting, advisory, and securitization activities",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,176-177
b18-investment-banking-and-brokerage,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,Which classification system should an investment banking entity use to categorize industries when reporting ESG-related transactions?,Standard Industrial Classification (SIC),North American Industry Classification System (NAICS),International Standard Industrial Classification (ISIC),Global Industry Classification Standard (GICS),Bloomberg Industry Classification System (BICS),D. Global Industry Classification Standard (GICS),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,177
b18-investment-banking-and-brokerage,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When describing the approach to incorporating ESG factors in investment banking activities, which of the following is NOT required to be included in the discussion?",Parties responsible for day-to-day incorporation of ESG factors,Approach to conducting ESG-related research,Roles and responsibilities of employees involved,Criteria used in assessing the quality of ESG incorporation,Detailed biographies of ESG team members,E. Detailed biographies of ESG team members,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,179
b18-investment-banking-and-brokerage,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When reporting facilitated emissions, how should an investment banking entity disclose this information?",As a single combined figure for all emissions,"Disaggregated by Scope 1, Scope 2, and Scope 3 emissions for each industry by key business line",Only for Scope 1 and Scope 2 emissions,As a percentage of total company emissions,Aggregated by client type without emission scope distinction,"B. Disaggregated by Scope 1, Scope 2, and Scope 3 emissions for each industry by key business line",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,181-182
b18-investment-banking-and-brokerage,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting the number and value of investments and loans incorporating ESG factors, which of the following should be excluded?",Debt securities,Public equity securities,Infrastructure investments,Real estate investments,Commercial lending activities,E. Commercial lending activities,IFRS S2 Climate-related Disclosures Appendix B,177-178
b18-investment-banking-and-brokerage,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating facilitated emissions, which of the following is NOT considered a 'key business line'?",Underwriting,Advisory,Securitization,Asset management,Investing and lending,D. Asset management,IFRS S2 Climate-related Disclosures Appendix B,181-182
b18-investment-banking-and-brokerage,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the revenue from transactions incorporating ESG factors (FN-IB-410a.1), how should an investment bank break down the revenue?",By client type and transaction size,By geographic region and currency,"By (1) underwriting, (2) advisory, and (3) securitization","By environmental, social, and governance categories",By profit margin and transaction volume,"C. By (1) underwriting, (2) advisory, and (3) securitization",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,176-177
