industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,explanation,pairing_explanation,references,pages
"['b10-metals-and-mining', 'b49-electrical-and-electronic-equipment']",Reporting Requirements,"When reporting on greenhouse gas emissions, what is a key difference in the disclosure requirements between the Metals & Mining industry and the Electrical & Electronic Equipment industry?","Metals & Mining must disclose Scope 1 emissions, while Electrical & Electronic Equipment does not","Electrical & Electronic Equipment must disclose Scope 2 emissions, while Metals & Mining does not","Metals & Mining must disclose the percentage of emissions covered under emissions-limiting regulations, while Electrical & Electronic Equipment does not have this requirement","Electrical & Electronic Equipment must disclose emissions from product use, while Metals & Mining does not",Both industries have identical greenhouse gas emissions reporting requirements,"C: Metals & Mining must disclose the percentage of emissions covered under emissions-limiting regulations, while Electrical & Electronic Equipment does not have this requirement",The Metals & Mining industry has a specific requirement (EM-MM-110a.1) to disclose the percentage of gross global Scope 1 GHG emissions that are covered under emissions-limiting regulations. This requirement is not present in the Electrical & Electronic Equipment industry disclosures.,"Mining provides critical raw materials for electronic equipment, presenting issues of resource depletion and recycling within closed-loop systems.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electrical & Electronic Equipment']","['82', '523']"
"['b10-metals-and-mining', 'b49-electrical-and-electronic-equipment']",Reporting Requirements,"In the context of energy management reporting, what is a key similarity between the Metals & Mining industry and the Electrical & Electronic Equipment industry?",Both industries must report on nuclear energy consumption,"Both industries are required to disclose total energy consumed, percentage grid electricity, and percentage renewable",Both industries must report on energy intensity per unit of production,Both industries are exempt from reporting renewable energy consumption,Both industries must report on energy storage capacity,"B: Both industries are required to disclose total energy consumed, percentage grid electricity, and percentage renewable","Both the Metals & Mining industry (EM-MM-130a.1) and the Electrical & Electronic Equipment industry (RT-EE-130a.1) have identical requirements to disclose (1) total energy consumed, (2) percentage grid electricity, and (3) percentage renewable energy.","Mining provides critical raw materials for electronic equipment, presenting issues of resource depletion and recycling within closed-loop systems.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electrical & Electronic Equipment']","['86', '523-524']"
"['b10-metals-and-mining', 'b49-electrical-and-electronic-equipment']",Metric Selection and Calculation,"When calculating the percentage of renewable energy consumed, what is a key difference in the scope between the Metals & Mining industry and the Electrical & Electronic Equipment industry?","Metals & Mining includes all biomass sources, while Electrical & Electronic Equipment has limitations","Electrical & Electronic Equipment includes all hydroelectric sources, while Metals & Mining has limitations","Metals & Mining excludes on-site generated renewable energy, while Electrical & Electronic Equipment includes it","Electrical & Electronic Equipment includes nuclear energy as renewable, while Metals & Mining does not",There are no differences in the scope of renewable energy between the two industries,E: There are no differences in the scope of renewable energy between the two industries,"Both industries have identical requirements and limitations for calculating the percentage of renewable energy consumed, including the same limitations on biomass and hydroelectric sources, and the same inclusion criteria for on-site generated renewable energy and purchased renewable energy.","Mining provides critical raw materials for electronic equipment, presenting issues of resource depletion and recycling within closed-loop systems.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electrical & Electronic Equipment']","['86-87', '523-524']"
"['b10-metals-and-mining', 'b49-electrical-and-electronic-equipment']",Metric Selection and Calculation,"In the context of product-related environmental metrics, what is a key difference between the Metals & Mining industry and the Electrical & Electronic Equipment industry?","Metals & Mining must report on product recycling rates, while Electrical & Electronic Equipment does not","Electrical & Electronic Equipment must report on revenue from energy-efficient products, while Metals & Mining does not","Metals & Mining must report on product carbon footprint, while Electrical & Electronic Equipment does not","Electrical & Electronic Equipment must report on product water usage, while Metals & Mining does not",Both industries have identical product-related environmental metrics,"B: Electrical & Electronic Equipment must report on revenue from energy-efficient products, while Metals & Mining does not",The Electrical & Electronic Equipment industry has a specific metric (RT-EE-410a.3) requiring disclosure of revenue from renewable energy-related and energy efficiency-related products. This product-specific environmental metric is not present in the Metals & Mining industry disclosures.,"Mining provides critical raw materials for electronic equipment, presenting issues of resource depletion and recycling within closed-loop systems.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electrical & Electronic Equipment']","['81-89', '526-527']"
"['b10-metals-and-mining', 'b49-electrical-and-electronic-equipment']",Cross-Industry Comparison,How do the water management reporting requirements differ between the Metals & Mining industry and the Electrical & Electronic Equipment industry?,Metals & Mining has more comprehensive water management reporting requirements,Electrical & Electronic Equipment has more comprehensive water management reporting requirements,Both industries have identical water management reporting requirements,Neither industry has water management reporting requirements,"Metals & Mining reports on water quality, while Electrical & Electronic Equipment reports on water quantity",A: Metals & Mining has more comprehensive water management reporting requirements,"The Metals & Mining industry has specific water management metrics (EM-MM-140a.1 and EM-MM-140a.2) requiring disclosure of total fresh water withdrawn, consumed, percentage in water-stressed areas, and incidents of non-compliance. The Electrical & Electronic Equipment industry does not have specific water management reporting requirements in the provided standards.","Mining provides critical raw materials for electronic equipment, presenting issues of resource depletion and recycling within closed-loop systems.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electrical & Electronic Equipment']","['88-89', '522-527']"
"['b10-metals-and-mining', 'b49-electrical-and-electronic-equipment']",Cross-Industry Comparison,Which of the following statements best describes a key difference in sustainability reporting focus between the Metals & Mining industry and the Electrical & Electronic Equipment industry?,"Metals & Mining focuses on operational impacts, while Electrical & Electronic Equipment focuses on product impacts","Electrical & Electronic Equipment focuses on supply chain impacts, while Metals & Mining focuses on community impacts","Metals & Mining focuses on air quality, while Electrical & Electronic Equipment focuses on water quality","Electrical & Electronic Equipment focuses on biodiversity, while Metals & Mining focuses on land use",Both industries have identical sustainability reporting focuses,"A: Metals & Mining focuses on operational impacts, while Electrical & Electronic Equipment focuses on product impacts","The Metals & Mining industry standards focus more on operational impacts such as greenhouse gas emissions, energy management, and water management. In contrast, the Electrical & Electronic Equipment industry standards have a significant focus on product-related impacts, including metrics for energy-efficient products, products containing certain substances, and revenue from renewable energy-related products.","Mining provides critical raw materials for electronic equipment, presenting issues of resource depletion and recycling within closed-loop systems.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electrical & Electronic Equipment']","['81-89', '522-527']"
"['b11-oil-and-gas-exploration-and-production', 'b32-electric-utilities-and-power-generators']",Reporting Requirements,"When disclosing greenhouse gas emissions for the Oil & Gas - Exploration & Production and Electric Utilities & Power Generators industries, which of the following is a key difference in reporting requirements?",Only Oil & Gas companies must report Scope 1 emissions,"Electric Utilities must report emissions from power deliveries, while Oil & Gas does not have an equivalent requirement","Oil & Gas companies must report emissions by source type, while Electric Utilities do not",Electric Utilities are exempt from reporting emissions covered under regulations,Both industries have identical GHG reporting requirements,"B. Electric Utilities must report emissions from power deliveries, while Oil & Gas does not have an equivalent requirement","While both industries must report Scope 1 emissions, the Electric Utilities & Power Generators industry has an additional requirement (IF-EU-110a.2) to disclose greenhouse gas emissions associated with power deliveries. This includes emissions from both owned generation and purchased power. The Oil & Gas - Exploration & Production industry does not have a directly equivalent metric, making this a key difference in reporting requirements between the two industries.","Both industries are central to energy production, and comparisons can highlight differences and synergies in carbon footprints and renewable integration.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electric Utilities & Power Generators']","['90', '300']"
"['b11-oil-and-gas-exploration-and-production', 'b32-electric-utilities-and-power-generators']",Reporting Requirements,"In terms of water management reporting, what is a key difference between the Oil & Gas - Exploration & Production and Electric Utilities & Power Generators industries?",Only Oil & Gas companies must report total water withdrawn and consumed,Electric Utilities are not required to report water stress information,"Oil & Gas companies must report on hydraulic fracturing water quality, while Electric Utilities have no specific water quality metric","Electric Utilities must report on water recycling, while Oil & Gas companies do not",Both industries have identical water management reporting requirements,"C. Oil & Gas companies must report on hydraulic fracturing water quality, while Electric Utilities have no specific water quality metric","A key difference in water management reporting between these industries is that Oil & Gas - Exploration & Production companies must report on water quality related to hydraulic fracturing (EM-EP-140a.4), including the percentage of hydraulic fracturing sites where ground or surface water quality deteriorated. Electric Utilities & Power Generators do not have a directly equivalent water quality metric, although they do report on water quantity and general water management risks.","Both industries are central to energy production, and comparisons can highlight differences and synergies in carbon footprints and renewable integration.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electric Utilities & Power Generators']","['101', '306']"
"['b11-oil-and-gas-exploration-and-production', 'b32-electric-utilities-and-power-generators']",Metric Selection and Calculation,"When calculating greenhouse gas emissions for the Oil & Gas - Exploration & Production industry, which of the following emission sources is specifically required to be reported separately?",Emissions from office buildings,Emissions from flared hydrocarbons,Emissions from employee commuting,Emissions from purchased electricity,Emissions from waste management,B. Emissions from flared hydrocarbons,"For the Oil & Gas - Exploration & Production industry, the metric EM-EP-110a.2 specifically requires reporting the amount of gross global Scope 1 emissions from flared hydrocarbons, along with other categories such as other combustion, process emissions, other vented emissions, and fugitive emissions. This level of detail in emission sources is unique to this industry and reflects the significant contribution of flaring to overall emissions in oil and gas operations.","Both industries are central to energy production, and comparisons can highlight differences and synergies in carbon footprints and renewable integration.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production'],['95']
"['b11-oil-and-gas-exploration-and-production', 'b32-electric-utilities-and-power-generators']",Metric Selection and Calculation,"In the Electric Utilities & Power Generators industry, which of the following metrics is used to measure the frequency of power outages?",SAIDI (System Average Interruption Duration Index),CAIDI (Customer Average Interruption Duration Index),SAIFI (System Average Interruption Frequency Index),MAIFI (Momentary Average Interruption Frequency Index),ASAI (Average Service Availability Index),C. SAIFI (System Average Interruption Frequency Index),"In the Electric Utilities & Power Generators industry, the System Average Interruption Frequency Index (SAIFI) is specifically used to measure the frequency of power outages. As defined in IF-EU-550a.2, SAIFI represents the average number of times that a system customer experiences an outage during the reporting period. It is calculated by dividing the total number of customers interrupted by the total number of customers served.","Both industries are central to energy production, and comparisons can highlight differences and synergies in carbon footprints and renewable integration.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electric Utilities & Power Generators'],['319']
"['b11-oil-and-gas-exploration-and-production', 'b32-electric-utilities-and-power-generators']",Cross-Industry Comparison,How do the Oil & Gas - Exploration & Production and Electric Utilities & Power Generators industries differ in their approach to reporting on renewable energy investments?,Only Oil & Gas companies are required to report on renewable energy investments,"Electric Utilities must report on customer electricity savings from efficiency measures, while Oil & Gas has no equivalent metric","Oil & Gas companies report on renewable energy investments and revenue, while Electric Utilities only report on smart grid technology","Electric Utilities report on renewable energy generation percentages, while Oil & Gas reports on investment amounts",Both industries have identical renewable energy reporting requirements,"B. Electric Utilities must report on customer electricity savings from efficiency measures, while Oil & Gas has no equivalent metric","The Electric Utilities & Power Generators industry has a specific metric (IF-EU-420a.3) requiring reporting on customer electricity savings from efficiency measures by market. This reflects the industry's role in promoting energy efficiency and demand management. The Oil & Gas - Exploration & Production industry, while it does report on renewable energy investments (EM-EP-420a.3), does not have an equivalent metric for customer energy savings. This difference highlights the varying roles these industries play in energy efficiency and end-user consumption.","Both industries are central to energy production, and comparisons can highlight differences and synergies in carbon footprints and renewable integration.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electric Utilities & Power Generators']","['106', '312']"
"['b11-oil-and-gas-exploration-and-production', 'b32-electric-utilities-and-power-generators']",Cross-Industry Comparison,"In terms of safety and emergency management, what is a key difference in reporting requirements between the Oil & Gas - Exploration & Production and Electric Utilities & Power Generators industries?",Only Oil & Gas companies must report on safety incidents,"Electric Utilities must report on nuclear safety, while Oil & Gas has no equivalent requirement","Oil & Gas companies must report on process safety events, while Electric Utilities do not",Electric Utilities are exempt from reporting on emergency preparedness,Both industries have identical safety reporting requirements,"B. Electric Utilities must report on nuclear safety, while Oil & Gas has no equivalent requirement","A key difference in safety and emergency management reporting between these industries is that the Electric Utilities & Power Generators industry has specific metrics related to nuclear safety (IF-EU-540a.1 and IF-EU-540a.2). These require reporting on nuclear power units and efforts to manage nuclear safety and emergency preparedness. The Oil & Gas - Exploration & Production industry, while it has its own safety metrics, does not have equivalent nuclear safety requirements. This reflects the unique risks and regulatory environment associated with nuclear power generation in the Electric Utilities industry.","Both industries are central to energy production, and comparisons can highlight differences and synergies in carbon footprints and renewable integration.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Electric Utilities & Power Generators']","['90', '315']"
"['b12-oil-and-gas-midstream', 'b59-telecommunication-services']",Reporting Requirements,"When reporting on greenhouse gas emissions, what is a key difference in the disclosure requirements between the Oil & Gas - Midstream and Telecommunication Services industries?",Only Oil & Gas - Midstream companies need to report Scope 1 emissions,Telecommunication Services companies must report the percentage of renewable energy used,Oil & Gas - Midstream companies must disclose the percentage of methane in their Scope 1 emissions,Telecommunication Services companies are required to report Scope 2 emissions,Both industries have identical GHG reporting requirements,C: Oil & Gas - Midstream companies must disclose the percentage of methane in their Scope 1 emissions,"According to the IFRS S2 Climate-related Disclosures, Oil & Gas - Midstream companies are specifically required to disclose the percentage of methane in their Scope 1 emissions (EM-MD-110a.1). This requirement is not present for Telecommunication Services companies, which focus more on total energy consumption and the percentage of renewable energy used (TC-TL-130a.1).","Both industries have extensive infrastructure needs and environmental footprints, including land use and emissions from operations.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Telecommunication Services']","['110', '585-586']"
"['b12-oil-and-gas-midstream', 'b59-telecommunication-services']",Reporting Requirements,Which of the following is a required disclosure for Telecommunication Services companies but not for Oil & Gas - Midstream companies according to the IFRS S2 Climate-related Disclosures?,Total energy consumed,Percentage of grid electricity used,Greenhouse gas emissions reduction targets,Systems to provide unimpeded service during interruptions,Scope 1 emissions covered under emissions-limiting regulations,D: Systems to provide unimpeded service during interruptions,"According to the IFRS S2 Climate-related Disclosures, Telecommunication Services companies are required to discuss systems to provide unimpeded service during service interruptions (TC-TL-550a.2). This specific requirement is not present for Oil & Gas - Midstream companies, reflecting the critical nature of continuous service in the telecommunications industry.","Both industries have extensive infrastructure needs and environmental footprints, including land use and emissions from operations.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Telecommunication Services']","['109-113', '588']"
"['b12-oil-and-gas-midstream', 'b59-telecommunication-services']",Metric Selection and Calculation,"When calculating the percentage of renewable energy consumed, what is a key difference between Oil & Gas - Midstream and Telecommunication Services industries?",Only Telecommunication Services can include on-site generated renewable energy,Oil & Gas - Midstream must exclude all biomass sources,Telecommunication Services must include specific criteria for biomass sources,Oil & Gas - Midstream can include all types of renewable energy without restrictions,Both industries calculate renewable energy percentage identically,C: Telecommunication Services must include specific criteria for biomass sources,"The IFRS S2 Climate-related Disclosures for Telecommunication Services specifically state that for renewable energy from biomass sources, materials must be certified to a third-party standard or meet specific eligibility criteria (TC-TL-130a.1). This detailed requirement for biomass sources is not explicitly mentioned in the Oil & Gas - Midstream disclosures, indicating a more stringent approach for Telecommunication Services in classifying renewable energy from biomass.","Both industries have extensive infrastructure needs and environmental footprints, including land use and emissions from operations.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Telecommunication Services']","['109-113', '585-587']"
"['b12-oil-and-gas-midstream', 'b59-telecommunication-services']",Metric Selection and Calculation,What unique metric is suggested for Telecommunication Services companies that is not mentioned for Oil & Gas - Midstream companies in their respective IFRS S2 Climate-related Disclosures?,Percentage of methane emissions,Total energy consumed,Power Usage Effectiveness (PUE) for data centers,Percentage of grid electricity used,Network traffic in petabytes,C: Power Usage Effectiveness (PUE) for data centers,"The IFRS S2 Climate-related Disclosures for Telecommunication Services suggest that companies may disclose the trailing twelve-month (TTM) weighted average power usage effectiveness (PUE) for their data centers (TC-TL-130a.1). This metric is specific to the telecommunications industry and is not mentioned in the Oil & Gas - Midstream disclosures, reflecting the importance of data center efficiency in the telecommunications sector.","Both industries have extensive infrastructure needs and environmental footprints, including land use and emissions from operations.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Telecommunication Services']","['109-113', '586-587']"
"['b12-oil-and-gas-midstream', 'b59-telecommunication-services']",Cross-Industry Comparison,How do the IFRS S2 Climate-related Disclosures differ in addressing physical climate risks for Oil & Gas - Midstream and Telecommunication Services industries?,Only Oil & Gas - Midstream must discuss physical climate risks,"Telecommunication Services focus on network resilience, while Oil & Gas - Midstream focus on emissions management",Both industries have identical requirements for physical climate risk disclosure,"Oil & Gas - Midstream must quantify financial impacts of physical risks, while Telecommunication Services do not","Telecommunication Services must report on flood risks, while Oil & Gas - Midstream report on drought risks","B: Telecommunication Services focus on network resilience, while Oil & Gas - Midstream focus on emissions management","The IFRS S2 Climate-related Disclosures show that Telecommunication Services companies are required to discuss systems to provide unimpeded service during interruptions (TC-TL-550a.2), which includes addressing physical climate risks to network infrastructure. In contrast, the Oil & Gas - Midstream disclosures focus more on emissions management and reduction strategies (EM-MD-110a.2), without specific mention of physical climate risk resilience.","Both industries have extensive infrastructure needs and environmental footprints, including land use and emissions from operations.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Telecommunication Services']","['111-113', '588']"
"['b12-oil-and-gas-midstream', 'b59-telecommunication-services']",Cross-Industry Comparison,"When comparing the activity metrics for Oil & Gas - Midstream and Telecommunication Services industries in their IFRS S2 Climate-related Disclosures, what is a key difference in how they quantify their operational scale?","Oil & Gas - Midstream uses revenue, while Telecommunication Services uses subscriber numbers","Telecommunication Services reports network traffic, while Oil & Gas - Midstream reports transport volume","Oil & Gas - Midstream reports in metric tons, while Telecommunication Services reports in petabytes","Telecommunication Services uses energy consumption, while Oil & Gas - Midstream uses emissions",Both industries use identical metrics to quantify operational scale,"C: Oil & Gas - Midstream reports in metric tons, while Telecommunication Services reports in petabytes","The activity metrics for Oil & Gas - Midstream include reporting the total metric ton-kilometers of products transported (EM-MD-000.A), while Telecommunication Services report network traffic in petabytes (TC-TL-000.D). This difference reflects the distinct nature of their operations: physical product transport for Oil & Gas - Midstream versus data transmission for Telecommunication Services.","Both industries have extensive infrastructure needs and environmental footprints, including land use and emissions from operations.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Telecommunication Services']","['108', '584']"
"['b15-asset-management-and-custody-activities', 'b43-pulp-and-paper-products']",Reporting Requirements,"In comparing the Asset Management & Custody Activities industry with the Pulp & Paper Products industry, which of the following is a required disclosure for Asset Management but not for Pulp & Paper?",Total energy consumed,Percentage of grid electricity used,Amount of recycled and recovered fiber procured,Percentage of total assets under management (AUM) included in financed emissions calculation,Gross global Scope 1 emissions,D: Percentage of total assets under management (AUM) included in financed emissions calculation,"The Asset Management & Custody Activities industry is required to disclose the percentage of total AUM included in financed emissions calculations (metric FN-AC-1), while the Pulp & Paper Products industry does not have this requirement. Both industries are required to disclose gross global Scope 1 emissions and energy consumption metrics, but only Pulp & Paper needs to report on recycled fiber procurement.","Finance and paper products have intricate supply chains and materiality analysis for paper use, recycling, and the sustainability of financial investments.",['IFRS S2 Climate-related Disclosures Appendix B'],"['141', '456']"
"['b15-asset-management-and-custody-activities', 'b43-pulp-and-paper-products']",Reporting Requirements,"When preparing sustainability reports, which of the following metrics is required for the Pulp & Paper Products industry but not for the Asset Management & Custody Activities industry?",Description of proxy voting and investee engagement policies,Amount of recycled and recovered fiber procured,Gross global Scope 1 emissions,Description of long-term and short-term strategy to manage Scope 1 emissions,Total water withdrawn and consumed,B: Amount of recycled and recovered fiber procured,"The Pulp & Paper Products industry is required to disclose the amount of recycled and recovered fiber procured (metric RR-PP-430a.2), which is not a requirement for the Asset Management & Custody Activities industry. Both industries share requirements for Scope 1 emissions and related strategies, while water management is specific to Pulp & Paper. Proxy voting policies are unique to Asset Management.","Finance and paper products have intricate supply chains and materiality analysis for paper use, recycling, and the sustainability of financial investments.",['IFRS S2 Climate-related Disclosures Appendix B'],"['468', '469']"
"['b15-asset-management-and-custody-activities', 'b43-pulp-and-paper-products']",Metric Selection and Calculation,"When calculating financed emissions for the Asset Management industry, which of the following is NOT included in the required disaggregation of emissions data?",Scope 1 emissions,Scope 2 emissions,Scope 3 emissions,Scope 4 emissions,Associated amount of total AUM,D: Scope 4 emissions,"According to the IFRS S2 Climate-related Disclosures for the Asset Management industry, financed emissions calculations require disaggregation by Scope 1, Scope 2, and Scope 3 emissions, along with the associated amount of total AUM. Scope 4 emissions are not a recognized category in the GHG Protocol and are not included in the required disclosures.","Finance and paper products have intricate supply chains and materiality analysis for paper use, recycling, and the sustainability of financial investments.",['IFRS S2 Climate-related Disclosures Appendix B'],"['141', '142']"
"['b15-asset-management-and-custody-activities', 'b43-pulp-and-paper-products']",Metric Selection and Calculation,"In the Pulp & Paper Products industry, when calculating the percentage of wood fiber sourced from third-party certified forestlands, which of the following is NOT considered a valid third-party forest management certification?",Forest Stewardship Council (FSC),Programme for the Endorsement of Forest Certification (PEFC),Sustainable Forest Initiative (SFI),American Tree Farm System (ATFS),ISO 14001 Environmental Management System,E: ISO 14001 Environmental Management System,"When calculating the percentage of wood fiber sourced from third-party certified forestlands, the Pulp & Paper Products industry considers certifications from FSC, PEFC, SFI, and ATFS as valid. ISO 14001 is an environmental management system standard and is not specifically a forest management certification, thus it is not included in this calculation.","Finance and paper products have intricate supply chains and materiality analysis for paper use, recycling, and the sustainability of financial investments.",['IFRS S2 Climate-related Disclosures Appendix B'],"['466', '467']"
"['b15-asset-management-and-custody-activities', 'b43-pulp-and-paper-products']",Cross-Industry Comparison,"When comparing the Asset Management & Custody Activities industry with the Pulp & Paper Products industry, which of the following sustainability considerations is most relevant to both sectors?",Forest management practices,Proxy voting policies,Supply chain environmental impacts,Water consumption and stress,Financed emissions calculations,C: Supply chain environmental impacts,"Both the Asset Management & Custody Activities and Pulp & Paper Products industries need to consider supply chain environmental impacts in their sustainability reporting. For Asset Management, this relates to the environmental impacts of investee companies, while for Pulp & Paper, it concerns the sourcing of wood fiber and its environmental implications. Forest management is specific to Pulp & Paper, proxy voting to Asset Management, water stress primarily to Pulp & Paper, and financed emissions specifically to Asset Management.","Finance and paper products have intricate supply chains and materiality analysis for paper use, recycling, and the sustainability of financial investments.",['IFRS S2 Climate-related Disclosures Appendix B'],"['135', '466']"
"['b15-asset-management-and-custody-activities', 'b43-pulp-and-paper-products']",Cross-Industry Comparison,Which of the following metrics would be most useful for comparing the climate impact of a company in the Asset Management & Custody Activities industry with one in the Pulp & Paper Products industry?,Total assets under management (AUM),Amount of recycled and recovered fiber procured,Gross global Scope 1 emissions,Percentage of wood fiber sourced from certified forestlands,Description of proxy voting policies,C: Gross global Scope 1 emissions,"Gross global Scope 1 emissions is the most comparable metric for assessing climate impact across these two different industries. Both the Asset Management & Custody Activities and Pulp & Paper Products industries are required to disclose this metric. Other metrics like AUM, recycled fiber, and wood sourcing are specific to one industry or the other, while proxy voting policies are not directly related to climate impact.","Finance and paper products have intricate supply chains and materiality analysis for paper use, recycling, and the sustainability of financial investments.",['IFRS S2 Climate-related Disclosures Appendix B'],"['456', '141']"
"['b16-commercial-banks', 'b42-fuel-cells-and-industrial-batteries']",1,"When reporting on the incorporation of ESG factors in credit analysis, what is a key difference between the requirements for commercial banks and fuel cell manufacturers?","Commercial banks must disclose their approach, while fuel cell manufacturers do not","Fuel cell manufacturers must disclose their approach, while commercial banks do not","Both industries must disclose their approach, but using different metrics",Neither industry is required to disclose their approach to ESG incorporation,"Commercial banks must only disclose for project finance, while fuel cell manufacturers must disclose for all products","A. Commercial banks must disclose their approach, while fuel cell manufacturers do not","According to the IFRS standards, commercial banks are required to describe their approach to incorporating environmental, social, and governance (ESG) factors in credit analysis (metric FN-CB-410a.2). This requirement is specific to the commercial banking industry and is not present in the disclosure requirements for fuel cell manufacturers.","Commercial banks finance the development of sustainable technologies like fuel cells; thus, their investment strategies affect sustainability.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Sustainability Disclosure Topics & Metrics'],['146-149']
"['b16-commercial-banks', 'b42-fuel-cells-and-industrial-batteries']",1,What is a key difference in the reporting requirements for transition risk exposure between commercial banks and fuel cell manufacturers?,Only commercial banks must report on financed emissions,Only fuel cell manufacturers must report on financed emissions,"Both industries must report on financed emissions, but using different metrics",Neither industry is required to report on financed emissions,"Commercial banks report on financed emissions, while fuel cell manufacturers report on product emissions",A. Only commercial banks must report on financed emissions,"According to the IFRS standards, commercial banks are required to disclose their financed emissions (metrics FN-CB-3 and FN-CB-4), which are emissions attributed to their loans and investments. This requirement is specific to the banking industry and is not present in the disclosure requirements for fuel cell manufacturers, who instead focus on product efficiency metrics.","Commercial banks finance the development of sustainable technologies like fuel cells; thus, their investment strategies affect sustainability.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Sustainability Disclosure Topics & Metrics'],"['151-154', '450-453']"
"['b16-commercial-banks', 'b42-fuel-cells-and-industrial-batteries']",2,How does the calculation of energy efficiency differ between commercial banks' financed emissions and fuel cells' energy output?,"Banks use CO2-e per unit of currency, while fuel cells use electrical and thermal efficiency percentages","Banks use kWh per transaction, while fuel cells use watt-hours per kilogram",Both use the same metric of CO2-e per MWh,"Banks don't calculate energy efficiency, only total emissions","Fuel cells don't calculate energy efficiency, only storage capacity","A. Banks use CO2-e per unit of currency, while fuel cells use electrical and thermal efficiency percentages","Commercial banks calculate financed emissions intensity using metrics like CO2-e per unit of currency invested (FN-CB-4). Fuel cell manufacturers, on the other hand, measure energy efficiency as electrical efficiency (net electricity produced divided by total fuel energy input) and thermal efficiency (net useful power output divided by total fuel energy input), both expressed as percentages (RR-FC-410a.2).","Commercial banks finance the development of sustainable technologies like fuel cells; thus, their investment strategies affect sustainability.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Sustainability Disclosure Topics & Metrics'],"['152-153', '450-451']"
